Geography,DroveAlone,CarPooled,PT,SampleSize
Alabama,1654106,182393,8366,1451
Alaska,241151,45383,5694,453
Arizona,2060597,303699,54537,2201
Arkansas,1016076,133898,5067,983
California,12110751,1834435,857373,1059
Colorado,1900336,248145,81732,1647
Connecticut,1371763,143982,59374,842
Delaware,343562,36541,10590,664
District of Columbia,346778,78802,301291,428
Florida,6524461,788274,170333,1586
Georgia,3382284,439679,89061,1036
Hawaii,444810,94991,43685,990
Idaho,523624,64742,4977,942
Illinois,4344691,508255,530319,693
Indiana,2403094,260000,26114,1842
Iowa,1233297,139920,16553,1086
Kansas,1146074,134899,5876,1889
Kentucky,1544301,183377,19065,1880
Louisiana,1627552,203040,26698,1161
Maine,482436,63683,3601,1520
Maryland,2011567,260985,145347,1450
Massachusetts,2415859,260601,315630,2181
Michigan,3440854,367323,58124,1145
Minnesota,2146153,242084,94936,2000
Mississippi,952295,116746,4564,805
Missouri,2274947,261001,45052,1163
Montana,355190,48833,3878,1314
Nebraska,782354,92322,6523,3417
Nevada,960306,135041,44004,576
New Hampshire,517164,52221,3618,763
New Jersey,2948735,335445,216339,1736
New Mexico,685335,91070,9777,1635
New York,4863929,621875,2707904,993
North Carolina,3484419,430257,47822,1191
North Dakota,327934,40607,2437,887
Ohio,4355617,413312,84777,1812
Oklahoma,1379037,177113,8059,1405
Oregon,1262859,184571,76164,810
Pennsylvania,4407663,503942,327943,1720
Rhode Island,390009,35949,11503,812
South Carolina,1637883,188991,11588,1855
South Dakota,334235,40280,1920,952
Tennessee,2376079,265721,22503,870
Texas,9356132,1276581,182369,2321
Utah,979299,152576,30677,1749
Vermont,235656,31334,3633,852
Virginia,3057806,361017,118194,1281
Washington,2273767,322444,185151,1209
West Virginia,592987,72770,4545,1048
Wisconsin,2214219,237266,50671,1055
Wyoming,224977,34621,4771,903
Puerto Rico,837557,96913,27592,1333
